problem,old_ms,new_ms,ratio,status,bucket,rayon,i128,u128,hashmap,pow_mod,already,next,confidence
218,0,1,,OK,fast_no_action,False,False,False,False,False,,,
219,0,1,,OK,fast_no_action,False,False,False,False,False,,,
220,1,1,1.0,OK,fast_no_action,False,False,False,False,False,,,
221,2643,320,8.26,OK,already_opt_fast,True,False,False,False,False,,Already par over a plus collect/sort; par_sort_unstable is the only leftover micro-opt.,high
222,10,1,10.0,OK,fast_no_action,False,False,False,False,False,,,
223,453,277,1.64,OK,fast_no_action,False,False,False,False,False,,,
224,44,23,1.91,OK,fast_no_action,False,False,False,False,False,,,
225,35,12,2.92,OK,fast_no_action,False,False,False,False,False,,,
226,2,1,2.0,OK,fast_no_action,False,False,False,False,False,,,
227,29,27,1.07,OK,fast_no_action,False,False,False,False,False,,,
228,2,1,2.0,OK,fast_no_action,False,False,False,False,False,,,
229,2484,510,4.87,OK,already_opt_fast,True,False,False,False,False,,already rayon; bitmap/sieve remaining is memory-bound,med
230,10,1,10.0,OK,fast_no_action,False,False,False,False,False,,,
231,922,346,2.66,OK,fast_no_action,False,False,False,False,False,,,
232,10,1,10.0,OK,fast_no_action,False,False,False,False,False,,,
233,225,107,2.1,OK,fast_no_action,False,False,False,False,False,,,
234,23,6,3.83,OK,fast_no_action,False,False,False,False,False,,,
235,2,1,2.0,OK,fast_no_action,False,False,False,False,False,,,
236,99,54,1.83,OK,fast_no_action,False,False,False,False,False,,,
237,2,1,2.0,OK,fast_no_action,False,False,False,False,False,,,
238,8034,3936,2.04,OK,needs_refactor,False,False,False,False,False,,Arithmetic digit extract instead of format!; replace O(D^2) first_occs nest with a bitset/queue cover.,high
239,10,1,10.0,OK,fast_no_action,False,False,False,False,False,,,
240,12,6,2.0,OK,fast_no_action,False,False,False,False,False,,,
241,25,10,2.5,OK,fast_no_action,False,False,False,False,False,,,
242,1,1,1.0,OK,fast_no_action,False,False,False,False,False,,,
243,1,1,1.0,OK,fast_no_action,False,False,False,False,False,,,
