problem,old_ms,xt_ms,now_ms,status,old_to_now,xt_to_now
325,1.0,1.0,1.1,OK,0.91,0.91
326,71.0,20.0,23.8,OK,2.98,0.84
327,0.0,1.0,1.1,OK,,0.91
328,3.0,3.0,3.0,OK,1.0,1.0
329,0.0,1.0,1.0,OK,,1.0
330,1.0,1.0,1.2,OK,0.83,0.83
331,2187.0,1726.0,121.0,OK,18.07,14.26
332,667.0,498.0,5.5,OK,121.27,90.55
333,209.0,141.0,150.0,OK,1.39,0.94
334,0.0,1.0,1.1,OK,,0.91
335,0.0,1.0,1.1,OK,,0.91
336,1149.0,687.0,7.2,OK,159.58,95.42
337,4178.0,2148.0,1766.8,OK,2.36,1.22
338,2262.0,521.0,533.4,OK,4.24,0.98
339,970.0,580.0,602.0,OK,1.61,0.96
340,0.0,1.0,1.1,OK,,0.91
341,54.0,16.0,17.0,OK,3.18,0.94
342,4.0,2.0,3.0,OK,1.33,0.67
343,402.0,88.0,95.5,OK,4.21,0.92
344,853.0,267.0,1.3,OK,656.15,205.38
345,2.0,1.0,1.7,OK,1.18,0.59
346,59.0,36.0,40.3,OK,1.46,0.89
347,66.0,22.0,23.2,OK,2.84,0.95
348,243.0,152.0,160.4,OK,1.51,0.95
349,1.0,1.0,1.6,OK,0.62,0.62
350,79.0,29.0,31.6,OK,2.5,0.92
351,3865.0,1297.0,6.5,OK,594.62,199.54
352,284.0,166.0,171.9,OK,1.65,0.97
353,514.0,321.0,63.2,OK,8.13,5.08
354,1774.0,737.0,86.9,OK,20.41,8.48
355,16.0,9.0,9.8,OK,1.63,0.92
356,1.0,1.0,1.0,OK,1.0,1.0
357,1012.0,220.0,234.7,OK,4.31,0.94
358,0.0,1.0,1.2,OK,,0.83
359,58.0,13.0,13.9,OK,4.17,0.94
360,811.0,315.0,13.8,OK,58.77,22.83
361,1.0,1.0,1.4,OK,0.71,0.71
362,3390.0,1134.0,367.0,OK,9.24,3.09
363,10.0,8.0,8.3,OK,1.2,0.96
364,144.0,49.0,50.3,OK,2.86,0.97
365,535.0,65.0,68.9,OK,7.76,0.94
366,1.0,0.0,0.9,OK,1.11,
367,6.0,1.0,1.3,OK,4.62,0.77
368,72.0,29.0,28.7,OK,2.51,1.01
369,552.0,539.0,1.0,OK,552.00,539.00
370,6739.0,1840.0,237.8,OK,28.34,7.74
371,0.0,1.0,1.0,OK,,1.0
372,339.0,157.0,159.0,OK,2.13,0.99
373,1248.0,722.0,55.8,OK,22.37,12.94
374,700.0,364.0,116.8,OK,5.99,3.12
375,477.0,330.0,99.7,OK,4.78,3.31
376,26.0,18.0,19.4,OK,1.34,0.93
377,30.0,10.0,10.7,OK,2.8,0.93
