problem,time_ms,ipc,cache_miss_pct,branch_miss_pct,llc_misses,l1_misses,classification,top_func,top_func_pct
439,3364,1.18,56.4,0.4,3496137,99766003,MODERATE-IPC | HIGH-CACHE-MISS,,0.0
571,3362,2.42,17.2,0.3,174174,10830942,COMPUTE-BOUND,,0.0
636,3362,1.09,86.3,0.0,6953572,380638406,MODERATE-IPC | HIGH-CACHE-MISS,,0.0
399,3344,0.61,90.2,0.6,67168086,138792307,MEMORY-BOUND | HIGH-CACHE-MISS,,0.0
966,3324,2.30,10.0,0.3,31201,1542473,COMPUTE-BOUND,,0.0
623,3321,2.50,7.0,0.0,107410,1038061441,COMPUTE-BOUND,,0.0
921,3294,0.87,20.2,2.7,2879,51044,MODERATE-IPC,,0.0
447,3284,1.36,79.7,0.6,8869918,15734678,MODERATE-IPC | HIGH-CACHE-MISS,,0.0
659,3204,0.61,75.1,2.4,12932826,50244807,MEMORY-BOUND | HIGH-CACHE-MISS,,0.0
748,3196,0.65,24.9,4.0,920,12124,STALLED | BRANCH-HEAVY,,0.0
635,3183,0.65,69.8,1.2,25875525,106359910,MEMORY-BOUND | HIGH-CACHE-MISS,,0.0
580,3121,0.43,77.0,5.3,114121785,216473223,MEMORY-BOUND | HIGH-CACHE-MISS | BRANCH-HEAVY,,0.0
245,3079,1.05,74.5,0.2,843774,37000368,MODERATE-IPC | HIGH-CACHE-MISS,,0.0
455,3029,0.74,37.6,5.0,1203,24548,STALLED | HIGH-CACHE-MISS | BRANCH-HEAVY,,0.0
890,3005,1.52,6.0,0.1,30924,972531622,COMPUTE-BOUND,,0.0
464,2995,1.03,73.4,2.5,15725887,854679870,MODERATE-IPC | HIGH-CACHE-MISS,,0.0
411,2977,1.80,32.9,1.2,4594700,131025113,COMPUTE-BOUND | HIGH-CACHE-MISS,,0.0
699,2973,1.24,7.1,1.2,1319,197048,MODERATE-IPC,,0.0
451,2960,1.25,73.2,1.0,45153,20692890,MODERATE-IPC | HIGH-CACHE-MISS,,0.0
518,2873,0.81,59.1,10.3,30893015,85986391,MODERATE-IPC | HIGH-CACHE-MISS | BRANCH-HEAVY,,0.0
529,2838,1.18,1.2,0.3,12374,87006143,MODERATE-IPC,,0.0
850,2837,2.36,3.8,0.0,15834,5639936,COMPUTE-BOUND,,0.0
784,2807,1.50,23.9,1.9,350598,4802782,COMPUTE-BOUND,,0.0
741,2803,1.50,0.9,0.1,9859,2443708,COMPUTE-BOUND,,0.0
446,2797,0.44,77.9,2.7,28622992,85134519,MEMORY-BOUND | HIGH-CACHE-MISS,,0.0
984,2779,1.50,14.9,2.7,156167,269845041,MODERATE-IPC,,0.0
878,2762,2.40,37.5,3.2,550854,2653060,COMPUTE-BOUND | HIGH-CACHE-MISS | BRANCH-HEAVY,,0.0
410,2747,0.37,80.7,0.7,131505800,194161830,MEMORY-BOUND | HIGH-CACHE-MISS,,0.0
752,2744,1.28,20.0,0.6,13948,2470467,MODERATE-IPC,,0.0
404,2694,0.67,32.0,19.7,404,4595,STALLED | HIGH-CACHE-MISS | BRANCH-HEAVY,,0.0
688,2691,1.21,29.4,0.0,1955,9257,MODERATE-IPC,,0.0
221,2643,0.64,24.1,0.0,202642,6048425,STALLED,,0.0
938,2641,1.04,2.1,0.0,6530,114763569,MODERATE-IPC,,0.0
757,2639,2.06,44.4,2.3,7147076,226871938,COMPUTE-BOUND | HIGH-CACHE-MISS,,0.0
837,2638,0.96,80.3,0.0,530703,30958227,MODERATE-IPC | HIGH-CACHE-MISS,,0.0
827,2626,0.54,24.2,0.0,2384,119254,STALLED,,0.0
945,2576,0.97,3.3,6.2,6782,1487969,MODERATE-IPC | BRANCH-HEAVY,,0.0
484,2571,1.32,80.8,0.2,148679,78790094,MODERATE-IPC | HIGH-CACHE-MISS,,0.0
586,2568,1.85,84.1,1.9,92318,57711066,COMPUTE-BOUND | HIGH-CACHE-MISS,,0.0
714,2556,1.23,24.2,0.0,2288953,861068481,MODERATE-IPC,,0.0
643,2496,0.68,65.5,0.2,28600612,87737018,MEMORY-BOUND | HIGH-CACHE-MISS,,0.0
824,2487,0.30,81.7,1.3,7757522,15011437,MEMORY-BOUND | HIGH-CACHE-MISS,,0.0
229,2484,0.97,1.0,0.3,31649063,4306614143,MODERATE-IPC,,0.0
933,2468,1.16,0.2,1.3,72576,757241295,MODERATE-IPC,,0.0
589,2464,3.12,2.3,0.3,80536,104709528,COMPUTE-EFFICIENT,,0.0
810,2459,1.31,92.2,0.6,563048,136040342,MODERATE-IPC | HIGH-CACHE-MISS,,0.0
927,2447,1.06,49.8,0.1,11606331,42398147,MODERATE-IPC | HIGH-CACHE-MISS,,0.0
531,2445,0.99,4.6,6.5,28428,2258933,MODERATE-IPC | BRANCH-HEAVY,,0.0
729,2444,0.40,13.7,6.0,735,58781,STALLED | BRANCH-HEAVY,,0.0
869,2415,1.10,77.2,6.6,3014153,103413036,MODERATE-IPC | HIGH-CACHE-MISS | BRANCH-HEAVY,,0.0
625,2409,0.78,54.5,0.2,25404269,88647934,MEMORY-BOUND | HIGH-CACHE-MISS,,0.0
526,2394,0.47,85.0,1.3,904053,110847631,MEMORY-BOUND | HIGH-CACHE-MISS,,0.0
486,2313,0.84,19.8,2.7,402,19060,MODERATE-IPC,,0.0
263,2307,0.84,11.8,3.4,903,27774,MODERATE-IPC | BRANCH-HEAVY,,0.0
743,2305,0.62,91.9,0.7,15176892,65018669,MEMORY-BOUND | HIGH-CACHE-MISS,,0.0
